Unnamed: 0,Page-1-Clicks,Page-2-Clicks,Page-3-Clicks,Page-4-Clicks,Page-5-Clicks,Page-6-Clicks,Page-7-Clicks,Page-8-Clicks,Page-9-Clicks,Page-10-Clicks,Food-Clicks,Gossip-Clicks,Politic-Clicks,Science-Clicks,Sport-Clicks,Tech-Clicks,Food-Allocations,Gossip-Allocations,Politic-Allocations,Science-Allocations,Sport-Allocations,Tech-Allocations,Page-1-Time,Page-2-Time,Page-3-Time,Page-4-Time,Page-5-Time,Page-6-Time,Page-7-Time,Page-8-Time,Page-9-Time,Page-10-Time,cluster
80,4.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,3.0,5.0,2,0,2,14,0,9,14,16,22,31,11,36,66.112,36.167,38.471,24.418000000000006,27.632,37.678,32.725,35.264,20.991,27.009,3
82,2.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,0,1,1,21,1,0,13,14,13,58,20,12,42.194,34.88,21.049,22.408,16.328,21.409,16.067999999999998,15.29,26.305,21.853,3
83,1.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,1.0,2.0,4,3,0,6,0,1,26,28,16,30,14,16,27.732,27.682,31.997,60.097,48.733,25.609,26.544,27.899,27.365,67.233,3
84,4.0,3.0,6.0,3.0,5.0,5.0,4.0,5.0,4.0,7.0,4,1,2,33,2,4,19,13,15,59,12,12,55.028,42.164,43.166,40.13800000000001,59.182,48.587,37.265,44.04,41.506,49.83,9
85,2.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,3,8,4,6,6,3,18,27,17,25,22,21,58.201,20.495,26.899,18.095,22.334,15.892,14.9,11.614,30.905,16.22,3
86,5.0,5.0,3.0,5.0,7.0,4.0,5.0,4.0,4.0,4.0,5,0,1,28,0,12,20,13,11,44,10,32,41.427,33.516,28.169,30.254,27.882,33.659,35.039,35.322,27.368,30.314,3
87,2.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1,0,0,7,0,6,15,16,9,37,17,36,45.298,22.372,30.445,36.393,159.975,25.914,42.923,16.947,50.697,31.725,3
88,3.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,6,1,0,4,0,1,36,18,12,30,15,19,94.694,41.64,17.067,36.044,22.311,28.124,24.035,26.998,15.003,15.942,3
89,2.0,1.0,3.0,2.0,5.0,1.0,0.0,1.0,4.0,4.0,0,0,0,21,0,2,16,14,13,55,14,18,70.247,36.277,38.0,19.492,26.561,22.77,28.633000000000006,22.261,26.98,31.373,3
90,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,4,1,1,4,0,0,26,20,22,32,15,15,21.291,22.238000000000003,42.964,18.475,27.313,29.323,17.227999999999998,23.625,41.613,22.546,3
91,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2,1,1,4,0,0,24,20,22,35,14,15,47.589,24.58,38.541,53.01600000000001,40.639,19.886,38.953,36.834,22.625,17.686,3
92,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4,0,0,1,0,3,40,14,18,16,14,28,30.532,25.655,14.946,21.24,27.423,20.308,18.715,12.101,21.164,53.074,3
93,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1,3,0,0,0,2,20,37,17,15,15,26,24.29,46.895,25.585,33.509,73.441,28.697,16.6,19.016,17.471,23.12,3
95,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,1.0,3.0,0,0,1,26,2,5,15,15,11,56,14,19,38.06,26.007,29.889,29.324,11.079,13.621,16.01,14.773,22.216,27.084,3
96,3.0,3.0,4.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,0,0,7,13,3,2,13,11,27,47,17,15,46.132,34.383,24.384,33.854,31.414,25.201,27.102,21.287,27.137,25.946,3
97,6.0,10.0,6.0,8.0,8.0,7.0,4.0,1.0,7.0,2.0,7,0,4,30,10,8,20,12,13,44,24,17,55.545,35.287,41.158,46.975,31.906,47.916,37.2,41.217,36.673,37.351,33
98,4.0,4.0,3.0,3.0,6.0,2.0,3.0,1.0,2.0,3.0,0,0,0,3,0,28,13,11,14,19,12,61,32.461,56.997,50.093,43.283,43.812,37.63800000000001,28.998,30.494,25.639,125.608,3
99,2.0,4.0,3.0,2.0,3.0,1.0,2.0,1.0,4.0,4.0,1,4,8,9,0,4,15,21,31,28,16,19,27.026,27.541,23.544,45.845,27.092,28.719,22.411,20.815,26.522,30.232,3
100,4.0,4.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,6.0,2,6,0,30,1,0,13,18,12,63,12,12,77.587,59.479,37.823,46.20399999999999,53.139,33.706,41.523,37.55,45.44300000000001,39.261,3
101,3.0,3.0,5.0,1.0,4.0,0.0,3.0,2.0,2.0,2.0,1,1,1,15,0,7,13,14,17,50,11,25,49.431,45.813,41.361,33.201,35.173,32.962,37.782,36.965,41.12,32.793,3
102,3.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0,0,15,2,0,2,12,12,58,16,14,18,30.829,21.88,20.667,103.623,21.072,23.082,55.159,21.282,14.329,22.324,3
103,0.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,4,2,2,8,0,0,25,20,20,33,16,16,25.999,22.922,21.255,19.566,26.629,18.598,14.15,16.127,18.31,15.252,3
104,5.0,7.0,4.0,9.0,4.0,5.0,5.0,3.0,2.0,3.0,5,33,0,2,0,7,17,61,12,10,13,17,62.734,43.57,35.727,38.396,37.036,23.18,36.976,25.814,20.033,23.706,19
105,2.0,3.0,3.0,3.0,2.0,3.0,5.0,1.0,5.0,2.0,1,0,2,23,0,3,12,14,14,59,17,14,39.12300000000001,21.854,36.966,20.103,33.675,33.602,30.666,29.118,35.547,35.399,3
106,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0,0,1,7,0,3,16,15,16,43,14,26,46.72,24.499,26.323,24.719,13.661,35.191,24.831,24.094,19.135,16.692999999999998,3
